_type;_tags_source:addr;_tags_short_name;_tags_name;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
node;;;Escuela Cristiana Desarrolo Integral;school;;;;;CL;;-72.6470334;-38.706199;11300420091
node;;;Colegio Particular Excelsior;school;;;;;CL;;-72.6244834;-38.7069905;11300820124
node;;;Escuela de Lenguaje Alemania;school;;;;;CL;;-72.6444144;-38.7206505;11302821940
node;;;Colegio Latinoamericano;school;República;;;;;Temuco;-72.5632954;-38.7352842;11420370746
node;;;Liceo Tecnológico de La Araucania;school;Avenida Balmaceda;;429;;;Temuco;-72.5939081;-38.7315751;11439899000
node;;;Escuela Jose Miguel Carrera;school;Pircunche;;01205;;;Temuco;-72.5622395;-38.7316831;11439964862
node;;;Escuela Santa Rosa;school;Catrihuala;;485;;;Temuco;-72.5708073;-38.7348546;11439965118
node;;;Escuela Especial Nielol;school;Avenida Balmaceda;;325;;;Temuco;-72.59542;-38.7318359;11443373278
node;;;Escuela de Adultos Manuel Rojas;school;Avenida Balmaceda;;450;;;Temuco;-72.5807294;-38.7346467;11443376453
node;;;Escuela Truf-Truf;school;;;;;;;-72.5368967;-38.743907;11443426873
node;;;Escuela Reducción Raluncollan;school;;;;;;;-72.6371194;-38.6998149;11443597917
node;;;Escuela Reducción Monte Verde;school;;;;;;;-72.5905276;-38.695307;11443605007
node;;;Escuela Licanco;school;;;;;;;-72.6213478;-38.7955807;11443606881
node;;;Escuela Manio Chico;school;;;;;;;-72.6809341;-38.6853344;11443624884
node;;;Liceo España de Temuco;school;Lagos;;698;;;Temuco;-72.5937017;-38.7398604;11443644381
node;;;Escuela y Liceo Montessori;school;Lagos;;652;;;Temuco;-72.5937498;-38.7393249;11443650263
node;;;Colegio Madre Admirable de Schoenstatt;school;Tucapel;;1777;;;Temuco;-72.5746327;-38.7307909;11443664708
node;;;Liceo Particular Comercial Temuco;school;Diego Portales;;750;;;Temuco;-72.5908413;-38.7373974;11443671864
node;;;Liceo Carlos Condell de La Haza;school;Avenida Pedro de Valdivia;;709;;;Temuco;-72.6092766;-38.7286159;11443681359
node;;;Escuela Padre Venancio;school;Carlos Condell;;490;;;Padre Las Casas;-72.5893935;-38.760876;11443724413
node;;;Escuela Especial Retardo Mental Las Araucarias;school;Thiers;;439;;;Temuco;-72.6032614;-38.7374274;11443725382
node;;;Escuela Particular Araucania;school;Araucanía;;865;;;Temuco;-72.5752277;-38.7376473;11443730994
node;;;Escuela Cristiana N°318 Wenceslao Valdivia;school;Quiriquina;;1790;;;Temuco;-72.5783913;-38.7440665;11443744879
node;;;Escuela La Espiga;school;;;;;;;-72.6779158;-38.6875791;11443750140
node;;;Escuela Particular Los Reyes;school;Alessandría;;0880;;;Temuco;-72.6167262;-38.7567961;11443750148
node;;;Escuela Particular Estrella de Belen;school;Curicó;;940;;;Temuco;-72.5823751;-38.7440005;11443751775
node;;;Escuela Particular Alianza;school;Guacolda;;855;;;Temuco;-72.567078;-38.7307209;11443753876
node;;;Escuela Particular Villa Irma;school;Arquímedes;;01726;;;Temuco;-72.631346;-38.7576938;11443759156
